"Treatment","Age","Transect","Point","Depth","Macro","Micro","MacroC","MicroC","MacroN","MicroN","Total","Gpos","Gneg","Eubac","Actino","AMF","Fungi","FB","Richness","CN"
1,1,2,4,2,0.20,0.57,3.08,6.46,0.25,0.59,36.22,14.65,5.70,23.49,8.48,2.28,1.96,0.08,10,11.35
1,1,3,1,2,0.14,0.59,1.81,8.11,0.17,0.72,28.08,7.46,7.48,14.94,13.14,0.00,0.00,0.00,3,11.18
1,1,3,2,2,0.15,0.59,3.40,8.14,0.31,0.82,28.01,12.00,3.66,15.66,7.98,2.13,2.25,0.14,8,10.21
1,1,3,3,2,0.13,0.59,2.39,8.22,0.21,0.82,46.21,21.28,5.57,30.69,10.45,2.71,2.36,0.08,10,10.33
1,1,3,4,2,0.27,0.50,5.17,6.49,0.53,0.78,13.91,0.00,7.66,13.91,0.00,0.00,0.00,0.00,2,8.94
1,2,1,1,2,0.34,0.44,5.13,4.73,0.37,0.54,37.99,12.53,6.86,22.34,13.18,2.47,0.00,0.00,8,10.81
1,2,1,2,2,0.47,0.33,6.70,3.52,0.50,0.39,39.82,14.34,8.06,24.92,12.38,2.52,0.00,0.00,10,11.52
1,2,1,3,2,0.40,0.43,5.60,4.58,0.45,0.58,40.91,14.94,7.85,25.30,13.37,2.25,0.00,0.00,10,9.84
1,2,1,4,2,0.32,0.48,5.43,5.16,0.42,0.69,39.32,14.51,6.33,23.38,13.72,2.23,0.00,0.00,9,9.54
1,2,2,1,2,0.43,0.38,6.96,4.35,0.55,0.55,36.62,11.84,6.86,20.79,12.88,1.73,1.21,0.06,11,10.25
1,2,2,2,2,0.35,0.45,5.11,5.26,0.38,0.66,41.74,16.41,7.58,26.70,12.88,2.16,0.00,0.00,10,10.00
1,2,2,3,2,0.43,0.39,6.57,4.46,0.53,0.59,38.16,13.12,5.30,21.66,14.55,1.96,0.00,0.00,9,9.83
1,2,2,4,2,0.61,0.21,8.03,2.39,0.70,0.32,44.73,17.07,6.13,26.69,15.91,2.13,0.00,0.00,9,10.19
1,2,3,1,2,0.35,0.45,5.27,5.12,0.41,0.61,34.58,12.80,6.08,18.88,15.70,0.00,0.00,0.00,6,10.09
1,2,3,2,2,0.38,0.43,5.31,4.89,0.46,0.55,38.52,11.26,11.27,34.48,0.00,2.31,1.73,0.05,15,10.05
1,2,3,3,2,0.33,0.48,4.61,5.52,0.43,0.64,"NA","NA","NA","NA","NA","NA","NA","NA","NA",9.49
1,2,3,4,2,0.53,0.26,7.09,2.98,0.59,0.31,"NA","NA","NA","NA","NA","NA","NA","NA","NA",11.16
1,3,1,1,2,0.31,0.51,8.83,5.83,0.73,0.72,43.32,14.49,7.17,26.01,14.27,2.20,0.83,0.03,12,10.14
1,3,1,2,2,0.35,0.51,6.26,5.61,0.59,0.60,39.65,14.15,7.57,24.40,11.91,2.48,0.85,0.03,11,9.93
1,3,1,3,2,0.35,0.50,7.90,5.57,0.63,0.62,39.66,16.25,6.55,25.94,9.31,4.41,0.00,0.00,9,10.75
1,3,1,4,2,0.22,0.59,4.35,7.22,0.35,0.92,43.93,16.90,6.43,26.24,15.19,2.49,0.00,0.00,9,9.16
1,3,2,1,2,0.29,0.54,7.84,6.34,0.71,0.76,36.52,12.73,6.00,21.82,11.78,2.92,0.00,0.00,8,9.68
1,3,2,2,2,0.27,0.51,11.34,6.12,0.91,0.81,38.50,14.11,6.29,23.02,13.12,2.35,0.00,0.00,9,10.15
1,3,2,3,2,0.22,0.60,6.12,7.52,0.51,0.84,39.07,14.76,6.86,24.72,11.64,2.70,0.00,0.00,9,10.08
1,3,2,4,2,0.36,0.48,11.64,5.45,0.87,0.68,38.64,13.39,6.15,22.48,13.47,2.69,0.00,0.00,9,11.04
1,3,3,1,2,0.17,0.63,4.66,8.35,0.38,1.05,42.28,15.10,8.89,27.13,11.93,2.25,0.95,0.04,11,9.13
1,3,3,2,2,0.23,0.56,8.96,7.09,0.90,0.79,40.69,15.91,6.98,25.56,10.93,3.10,1.09,0.04,11,9.50
1,3,3,3,2,0.32,0.54,5.67,6.35,0.51,0.65,39.62,15.50,7.31,25.51,11.34,2.77,0.00,0.00,10,10.29
1,3,3,4,2,0.34,0.52,7.95,6.02,0.71,0.66,39.85,14.03,7.61,25.04,11.24,2.64,0.94,0.04,12,10.21
2,1,1,1,1,0.15,0.48,15.22,23.47,1.85,2.86,5.65,2.35,1.42,4.60,0.00,0.44,0.61,0.13,11,8.21
2,1,1,2,1,0.17,0.51,37.62,29.36,3.18,2.91,5.15,1.85,1.58,4.21,0.00,0.51,0.44,0.10,11,11.00
2,1,1,3,1,0.20,0.51,43.04,28.00,3.77,2.78,9.65,3.53,2.69,7.82,0.00,0.64,1.20,0.15,12,10.85
2,1,1,4,1,0.20,0.46,25.94,31.89,1.93,2.63,10.58,4.45,3.09,8.89,0.00,0.64,1.05,0.12,12,12.68
2,1,2,1,1,0.11,0.43,22.81,32.27,1.94,3.11,9.72,3.52,2.99,8.19,0.00,0.82,0.70,0.09,12,10.92
2,1,2,2,1,0.11,0.44,40.50,23.59,1.63,2.46,8.62,2.83,2.91,7.21,0.00,0.78,0.63,0.09,11,15.68
2,1,2,3,1,0.10,0.48,20.73,33.26,1.84,2.68,7.15,2.19,1.65,4.97,1.40,0.39,0.39,0.08,13,11.94
2,1,2,4,1,0.08,0.43,6.03,17.37,0.60,1.73,5.49,1.81,1.32,4.77,0.00,0.41,0.30,0.06,11,10.02
